## source_type,england_rshe_full
## band_count,2
## age_range_hint,"ages 5-16 (DfE RSHE statutory guidance July 2025; primary phase = Years 1-6, secondary phase = Years 7-11; two-phase structure, no within-phase KS subdivision)"
## detection_confidence,high
## progression_philosophy,"The DfE RSHE statutory guidance (July 2025) uses a two-phase architecture: 'content to be covered by the end of primary' and 'content to be covered by the end of secondary'. Neither phase is subdivided into individual Key Stages within the curriculum content sections. Two-band output reflects the guidance's own structure. Per DfE statutory RSHE guidance (England), Children and Social Work Act 2017."
## band_detail | End of Primary,age_range=ages 5-11,grade_year=Years 1-6 (KS1 and KS2),"Primary pupils develop the foundational skills and knowledge needed for positive relationships, personal safety, and health. Outcomes are framed as terminal goals for all primary pupils; year-group and KS1/KS2 sequencing is a school decision. Primary relationships education does not include RSE content; sex education in primary is non-statutory."
## band_detail | End of Secondary,age_range=ages 11-16,grade_year=Years 7-11 (KS3 and KS4),"Secondary pupils develop the knowledge, values and personal qualities needed to navigate relationships, sex and health across the full secondary phase. Outcomes are framed as terminal goals for all secondary pupils; KS3/KS4 and year-group sequencing is a school decision."

competency_cluster,lt_id,lt_name,prerequisites,band,indicator_1,indicator_2,indicator_3,self_reflection_prompt,parent_prompt_1,parent_prompt_2,parent_prompt_3,observation_stability
cluster_02: Foundational Relationship Skills and Safety,cluster_02_lt_03,Caring and Respectful Disposition,Building Safe and Positive Relationships,End of Primary,The student spontaneously offers help to classmates who are struggling or upset,"The student uses gentle words and tone when speaking to peers, even during disagreements",The student shows consideration for others' feelings by waiting their turn and sharing materials without being reminded,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?","What have you noticed about how your child treats siblings, friends, or family members when they are upset or need help?","When your child disagrees with someone at home, how do they express their feelings and work through the situation?",Have you observed your child showing consideration for others' needs or feelings in everyday family situations?,stable
cluster_02: Foundational Relationship Skills and Safety,cluster_02_lt_03,Caring and Respectful Disposition,Building Safe and Positive Relationships,End of Secondary,The student consistently demonstrates empathy by actively listening to others' perspectives and responding thoughtfully,The student advocates for peers who are being treated unfairly or excluded from group activities,The student maintains respectful communication and supportive behaviour even in challenging social situations or conflicts,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_03: Family Diversity and Acceptance,cluster_03_lt_02,Respectful Family Acceptance,Identifying Diverse Family Structures,End of Primary,The student speaks positively about classmates' different family arrangements without making comparisons or judgements,The student includes children from various family structures in play and group activities without questioning their family circumstances,The student responds with curiosity rather than surprise when learning about unfamiliar family forms,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?",What have you noticed about how your child talks about their friends' families at home?,"When your child encounters families that look different from yours, how do they respond or what questions do they ask?",Have you observed your child standing up for or supporting friends whose family situations might be different or challenging?,stable
cluster_03: Family Diversity and Acceptance,cluster_03_lt_02,Respectful Family Acceptance,Identifying Diverse Family Structures,End of Secondary,The student actively challenges stereotypes or negative comments about non-traditional families in peer conversations,The student demonstrates consistent inclusive language when discussing family topics across different social contexts,The student seeks to understand rather than judge when encountering family situations different from their own experience,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_04: Abuse Recognition and Protection,cluster_04_lt_03,Maintaining Personal Safety,Recognising Abuse and Unsafe Situations; Understanding Rights and Support Systems,End of Primary,The student tells a trusted adult when they feel unsafe or uncomfortable in a situation,The student uses clear body language and words to say no when someone makes them feel uncomfortable,The student stays close to safe adults in unfamiliar environments or when meeting new people,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?",What have you noticed about how your child responds when they feel uncomfortable or unsafe at home or in the community?,When has your child come to you or another trusted adult for help with a situation that worried them?,How does your child react when they see someone else being treated unfairly or in a way that seems wrong?,stable
cluster_04: Abuse Recognition and Protection,cluster_04_lt_03,Maintaining Personal Safety,Recognising Abuse and Unsafe Situations; Understanding Rights and Support Systems,End of Secondary,The student removes themselves from situations they recognise as potentially harmful or exploitative,The student actively intervenes or seeks immediate help when they observe peers in unsafe situations,The student maintains consistent protective behaviours across different social contexts including online interactions,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_06: Interpersonal Skills and Boundaries,cluster_06_lt_02,Respectful Relationship Practices,Assertive Communication and Boundary Setting,End of Primary,The student uses polite language and listens when others are speaking in group activities,The student says no clearly when uncomfortable with physical contact or requests from peers,The student asks permission before borrowing items or entering others' personal spaces,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?",What have you noticed about how your child communicates when they disagree with family members or friends?,"When your child feels uncomfortable with something someone asks them to do, how do they typically respond?","Have you observed your child showing respect for others' personal space, belongings, or privacy at home or in social situations?",stable
cluster_06: Interpersonal Skills and Boundaries,cluster_06_lt_02,Respectful Relationship Practices,Assertive Communication and Boundary Setting,End of Secondary,The student maintains respectful communication during disagreements across different social groups,The student consistently enforces personal boundaries while respecting others' limits in various relationship contexts,The student navigates complex social situations by balancing assertiveness with consideration for others' perspectives,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_07: Bullying Prevention and Response,cluster_07_lt_03,Bystander Responsibility,Understanding Bullying and Stereotypes,End of Primary,The student tells a trusted adult when they see someone being hurt or excluded by others,The student offers comfort or inclusion to peers who have been treated unkindly,The student speaks up or gets help when witnessing name-calling or physical aggression,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?",What have you noticed about how your child responds when they see others being treated unfairly or unkindly?,Has your child mentioned helping classmates or friends who were having difficulties with other children?,"When your child witnesses conflict or meanness, what actions have you observed them taking?",stable
cluster_07: Bullying Prevention and Response,cluster_07_lt_03,Bystander Responsibility,Understanding Bullying and Stereotypes,End of Secondary,The student consistently intervenes safely or seeks appropriate support when observing bullying across different social contexts,The student advocates for peers experiencing discrimination or harassment in both face-to-face and digital environments,The student takes initiative to create inclusive spaces and challenge harmful behaviour without prompting,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_03,Practising Digital Caution and Responsibility,Understanding Digital Risks and Safety Principles,End of Primary,The student pauses before sharing personal details in digital activities and asks for adult guidance,"The student demonstrates careful consideration when posting or sharing content online, often checking with others first",,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?","What have you noticed about how your child approaches sharing photos, personal information, or content online at home?","When your child encounters something concerning or inappropriate online, how do they typically respond or seek help?",Have you observed your child thinking carefully about their digital footprint or considering how their online actions might affect others?,observation_indicators_unstable
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_03,Practising Digital Caution and Responsibility,Understanding Digital Risks and Safety Principles,End of Secondary,The student consistently applies privacy settings and information-sharing protocols across different digital platforms,"The student demonstrates thoughtful evaluation of digital content before sharing or responding, considering potential consequences",The student takes initiative to protect others' digital privacy and challenges inappropriate sharing when encountered,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,observation_indicators_unstable
cluster_09: Trust and Safety Assessment,cluster_09_lt_03,Trusting Safety Instincts,Recognising Trust and Safety Risks; Seeking Help and Reporting Concerns,End of Primary,The student speaks up immediately when something feels wrong without waiting for adult permission,The student maintains their position about safety concerns even when peers dismiss or question their worries,The student approaches trusted adults with confidence when reporting incidents rather than appearing hesitant or apologetic,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?","When your child tells you something doesn't feel right about a situation, how do they express this and what do you notice about their confidence level?",Have you observed your child standing firm about safety concerns even when others around them seem unconcerned or dismissive?,What have you noticed about how your child approaches you or other trusted adults when they need to report something that worries them?,stable
cluster_09: Trust and Safety Assessment,cluster_09_lt_03,Trusting Safety Instincts,Recognising Trust and Safety Risks; Seeking Help and Reporting Concerns,End of Secondary,The student acts on safety instincts in unfamiliar social situations without seeking validation from others first,The student persists in raising safety concerns through appropriate channels when initial reports are not taken seriously,The student demonstrates unwavering confidence when supporting peers who express safety concerns,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_11: Healthy Romantic Relationships,cluster_11_lt_03,Practising Respectful Interpersonal Conduct,Understanding Healthy Relationship Foundations,End of Primary,The student consistently uses polite language and listens when others are speaking during group activities,The student includes different classmates in games and activities without being prompted by adults,The student maintains personal space and asks permission before touching others' belongings or engaging in physical contact,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?",What have you noticed about how your child treats friends and family members when they disagree or have different opinions?,How does your child balance time with friends or romantic interests alongside their own hobbies and personal goals?,"When your child sees someone being treated unkindly, what do you observe about their response?",stable
cluster_11: Healthy Romantic Relationships,cluster_11_lt_03,Practising Respectful Interpersonal Conduct,Understanding Healthy Relationship Foundations,End of Secondary,The student demonstrates respectful communication patterns in peer interactions while maintaining their own viewpoints and boundaries,The student actively pursues individual interests and friendships independently of romantic relationships,The student intervenes appropriately when witnessing disrespectful behaviour toward others in social settings,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_14: Mental Health and Emotional Wellbeing,cluster_14_lt_03,Sustaining Personal and Others' Wellbeing,Understanding Emotions and Mental Health,End of Primary,The student notices when classmates appear upset and offers simple comfort or seeks adult help,The student uses basic strategies like deep breathing or asking for a break when feeling overwhelmed,The student talks about feelings with trusted adults when experiencing difficult emotions,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?",What have you noticed about how your child responds when family members or friends seem upset or stressed?,How does your child handle their own difficult emotions or stressful situations at home?,Have you observed your child talking about mental health or supporting others' wellbeing in your community or family?,stable
cluster_14: Mental Health and Emotional Wellbeing,cluster_14_lt_03,Sustaining Personal and Others' Wellbeing,Understanding Emotions and Mental Health,End of Secondary,The student consistently checks in with friends about their wellbeing and responds appropriately to signs of distress,The student independently applies multiple coping strategies and seeks appropriate support when facing mental health challenges,The student advocates for mental health awareness in their peer group and challenges stigma when it arises,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,stable
cluster_16: Physical Health and Lifestyle,cluster_16_lt_03,Personal Health Responsibility,Understanding Health Knowledge and Risks,End of Primary,The student independently performs basic self-care routines like teeth brushing and handwashing without reminders,The student notices and reports physical changes or discomfort to trusted adults,The student asks questions about their body and health during appropriate conversations,"Think about one relationship in your life — with a friend, family member, or classmate. What makes it feel safe and kind? Is there anything you would like to be different?",What have you noticed about how your child takes care of their own health routines at home?,"When your child feels unwell or notices something different about their body, how do they typically respond?",Have you observed your child seeking out health information or asking health-related questions independently?,observation_indicators_unstable
cluster_16: Physical Health and Lifestyle,cluster_16_lt_03,Personal Health Responsibility,Understanding Health Knowledge and Risks,End of Secondary,The student maintains consistent personal health routines across different environments and schedules,The student seeks appropriate health information and screening opportunities when needed,The student takes initiative to address health concerns through proper channels rather than ignoring symptoms,"Think about a situation this term where you had to make a decision about a relationship or your own wellbeing. What did you consider, and what would you do differently now?",,,,observation_indicators_unstable
