competency_cluster,lt_id,lt_name,stability,coconstruction_stages,coconstruction_student_prompts,coconstruction_anchor_examples_guidance,student_rubric_no_evidence,student_rubric_emerging,student_rubric_developing,student_rubric_competent,student_rubric_extending,student_rubric_self_checks,feedback_moves_no_evidence,feedback_moves_emerging,feedback_moves_developing,feedback_moves_competent
cluster_01: Body Awareness and Personal Boundaries,cluster_01_lt_01,Identifying Body Parts and Privacy,supporting_unstable,Introduce the idea that we'll create a guide together about knowing our bodies and privacy; Have students share what they already know about body parts and which ones might be private; Work together to organize their ideas into different levels of understanding; Refine the levels by discussing what each one looks like in practice,What body parts can you name and how do you know which ones are private?; How would you explain to a friend which body parts should stay covered?; What does it look like when someone really understands body parts and privacy?,Choose examples that show clear differences in naming accuracy and privacy understanding without being overly detailed or inappropriate for the age group.,I have not yet tried to name body parts or talk about privacy.,I can name some body parts with help but get confused about which ones are private.,I can name most body parts on my own but sometimes mix up which areas are private.,I can name body parts including private areas and clearly explain which parts are private.,I can use my knowledge about body parts and privacy to explain boundaries in different situations.,Can I name the main body parts and explain which ones are private?; Am I able to explain privacy rules clearly to others?,Start with basic body part identification using simple pictures or diagrams; Introduce the concept that some body parts are private and should be covered,Practice naming body parts with visual supports and gentle correction; Use simple language to clarify which areas are private and why,Review privacy concepts through role-play or discussion scenarios; Provide consistent reminders about which body parts are considered private,Challenge thinking by discussing privacy in different settings or contexts; Encourage explaining privacy concepts to help others understand
cluster_01: Body Awareness and Personal Boundaries,cluster_01_lt_02,Expressing Personal Boundaries,supporting_unstable,Discuss what boundaries mean and why they matter for feeling safe and comfortable; Brainstorm different types of boundaries we might need with our bodies and personal space; Explore how we can communicate boundaries clearly using words and actions; Practice identifying when boundaries are communicated well versus when they need improvement,What does it mean to have boundaries about your body and personal space?; How can we tell someone about our boundaries in a clear way?; What makes boundary communication work well in different situations?,Choose examples that show clear progression from unclear boundary attempts to confident communication across various age-appropriate contexts.,I have not yet tried to communicate my boundaries about physical contact or privacy.,I can try to express my boundaries with help but my communication is unclear or inconsistent.,I can communicate some boundaries about physical contact but struggle with privacy needs or being clear.,I can clearly communicate my boundaries about both physical contact and privacy needs in appropriate situations.,I can adapt my boundary communication effectively across different contexts and help others express their boundaries.,Can I clearly tell others about my boundaries for both physical contact and privacy?; Do I communicate my boundaries in ways that work well in different situations?,Model simple boundary statements and practice together; Create safe opportunities to express basic comfort preferences,Help clarify specific boundary language and practice consistent messaging; Provide sentence starters for expressing boundaries clearly,Practice communicating privacy boundaries using the same clarity as physical contact boundaries; Role-play boundary communication in different scenarios,Explore how boundary communication changes across different contexts and relationships; Practice supporting peers in expressing their own boundaries
cluster_03: Family Diversity and Acceptance,cluster_03_lt_01,Identifying Diverse Family Structures,stable,Students brainstorm all the different types of families they know from their lives and communities.; Teacher guides students to group similar family types together and create category names.; Students discuss what makes each family type unique and special.; Class creates success criteria for describing family structures clearly and accurately.,What different kinds of families do you see in your neighborhood or school?; How would you group these families that are similar?; What makes each type of family special or unique?; What should we include when we describe a family structure well?,"Choose examples that represent the full range of family structures students identified, ensuring cultural diversity and avoiding stereotypes.",I have not yet attempted to identify different family structures.,I can name some family types with help but my descriptions need more work.,I can identify several family forms on my own but my descriptions could be more detailed.,"I can independently identify and accurately describe various family structures including nuclear, single-parent, blended, extended, adoptive, and same-sex parent families.",I can compare family structures across different cultures or explain how family diversity makes communities stronger.,Can I name at least six different types of family structures?; Are my descriptions accurate and detailed enough for someone else to understand each family type?,Provide visual examples of different family structures from books or photos.; Start with one familiar family type and guide student to describe what they notice.,Ask student to choose one family type they named and help them add more details.; Provide sentence starters to help student describe family characteristics more completely.,Encourage student to add specific details about family roles or living arrangements.; Guide student to check their descriptions against real examples to ensure accuracy.,Challenge student to research family structures from different cultures or time periods.; Ask student to explain connections between family diversity and community strengths.
cluster_04: Abuse Recognition and Protection,cluster_04_lt_01,Recognising Abuse and Unsafe Situations,supporting_unstable,Introduce the concept of safety and harm through student experiences; Explore different types of unsafe situations students might encounter; Develop criteria for recognising when situations become harmful; Create descriptors for different levels of recognition ability,What makes a situation feel unsafe to you?; How can we tell the difference between something uncomfortable and something harmful?; What clues help us recognise when someone needs help?,"Select scenarios that range from obvious safety concerns to more subtle warning signs, ensuring examples are age-appropriate and culturally relevant.",I have not yet shown I can identify abuse or unsafe situations.,I can identify some obvious forms of abuse with help but miss subtle warning signs.,I can recognise clear forms of abuse on my own but struggle with complex unsafe situations.,I can independently identify different forms of abuse and recognise when situations are unsafe or harmful.,I can identify abuse patterns and unsafe situations across different contexts with detailed reasoning.,Can I explain why this situation is unsafe without help from others?; Am I able to spot warning signs even when they're not obvious?,Provide clear examples of safe versus unsafe situations; Use visual aids to highlight obvious warning signs,Guide students to notice subtle indicators through questioning; Practice with scenarios that have less obvious warning signs,Present complex scenarios for analysis and discussion; Encourage reasoning about why situations might be harmful,Challenge with diverse contexts and cultural situations; Ask students to explain patterns they notice across different scenarios
cluster_05: Friendship Development and Management,cluster_05_lt_02,Developing and Managing Friendship Skills,supporting_unstable,Students share what makes a good friend and identify friendship challenges they've experienced; Students brainstorm strategies for building friendships and handling conflicts; Students sort strategies from simple to complex and discuss when each might be used; Students create criteria for what friendship success looks like at different levels,What does it look like when someone is really good at making and keeping friends?; What strategies help when friendships get difficult or complicated?; How can you tell if your friendship strategies are working well?,Choose examples that show clear progression from basic friendship behaviors to complex social navigation and peer support.,I have not yet tried to use strategies for building or maintaining friendships.,I can try some friendship strategies with help but don't always use them at the right time.,I can use basic friendship strategies on my own but need help with complicated friendship problems.,I can use effective strategies to build caring friendships and handle friendship challenges appropriately.,I can use friendship strategies in many different situations and help others with their friendship challenges.,Can I handle friendship problems without always needing adult help?; Do I use different strategies depending on the friendship situation?,Model one simple friendship strategy and practice it together; Help identify one specific friendship goal to work toward,Practice timing when to use specific friendship strategies; Provide prompts before social situations to remind of available strategies,Discuss how to adapt basic strategies for more complex situations; Practice problem-solving steps for unfamiliar friendship challenges,Explore how friendship strategies work in different social contexts; Create opportunities to mentor others with friendship skills
cluster_07: Bullying Prevention and Response,cluster_07_lt_01,Understanding Bullying and Stereotypes,supporting_unstable,Students share experiences or observations about unfair treatment to activate prior knowledge.; Guide students to categorize different types of harmful behaviors they've identified.; Students discuss and define what makes these behaviors harmful to individuals and groups.; Collaboratively create criteria for recognizing and explaining different types of bullying and stereotypes.,What are different ways people can be mean or unfair to others?; How do these behaviors affect the people who experience them?; What makes someone really good at spotting and explaining these problems?,Select clear scenarios that show distinct bullying types and obvious stereotypes with visible harmful effects on individuals or groups.,I have not yet attempted to identify types of bullying or stereotypes.,I can name some types of bullying with help but my explanations need work.,I can identify basic types of bullying and stereotypes but need to add more detail about their harmful impacts.,I can identify different types of bullying and stereotypes and clearly explain how they cause harm.,I can analyze complex bullying situations and connect stereotypes to bigger patterns of discrimination.,Can I name specific types of bullying and stereotypes without help?; Can I clearly explain how these behaviors harm people?,Provide concrete examples of bullying scenarios to analyze together.; Use visual aids or stories to help identify different harmful behaviors.,Ask guiding questions to help elaborate on incomplete explanations.; Provide sentence starters for describing harmful impacts.,Prompt for specific details about how bullying affects victims emotionally and socially.; Encourage use of precise vocabulary to describe different stereotype categories.,Challenge to examine more complex scenarios with multiple bullying types.; Guide analysis of how stereotypes connect to larger social patterns.
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_01,Understanding Digital Risks and Safety Principles,supporting_unstable,Students brainstorm what could go wrong online from their own experiences.; Groups categorize risks and discuss what makes information personal or private.; Class develops safety rules for different online situations.; Students test safety principles against real-world scenarios.; Groups refine and finalize comprehensive safety guidelines.,What online experiences have made you feel unsafe or uncomfortable?; How do you decide what information is safe to share online?; What would you do if someone online asked for your personal details?; How can you tell if an online relationship is healthy or concerning?,Select student work samples that show clear progression from basic risk awareness to comprehensive safety application across different digital contexts.,I have not yet identified online risks or explained safety principles.,I can name some online risks with help but my explanations need work.,I can identify basic online risks and explain simple safety principles on my own.,I can identify many different online risks and explain complete safety principles for protecting my information and relationships.,I can apply safety principles to new situations and evaluate risks beyond typical online scenarios.,Can I explain why this online situation might be risky?; Do my safety principles cover both personal information and digital relationships?,Provide concrete examples of common online risks students encounter.; Guide students to reflect on their own digital experiences.,Ask students to explain their thinking about specific risks.; Connect incomplete ideas to real-world consequences.,Challenge students to consider less obvious risks.; Push for more detailed explanations of safety principles.,Present novel digital scenarios for safety principle application.; Encourage evaluation of emerging technologies and their risks.
cluster_08: Online Safety and Digital Citizenship,cluster_08_lt_02,Evaluating and Responding to Online Threats,supporting_unstable,Students share experiences of feeling uncertain or uncomfortable online without naming specifics; Class brainstorms what makes online situations feel safe versus unsafe; Students work in groups to categorise different types of online threats from general to complex; Groups develop response strategies for each threat category; Class creates shared language for describing levels of threat evaluation skills,"What are some warning signs that an online situation might not be safe?; How do you decide whether to respond, report, or remove yourself from an online situation?; What would it look like to help a friend recognise online threats?",Select scenarios that progress from obvious scams to subtle manipulation tactics and include both relationship-based and content-based threats.,I have not yet shown that I can evaluate online threats or plan responses,I can spot obvious online risks with help but my responses need improvement,I can recognise clear online threats on my own but find complex situations challenging,I can evaluate online relationships and content critically and choose appropriate responses,I can apply my evaluation skills to new online situations and help others recognise threats,Can I explain why a specific online situation feels unsafe and what I would do about it?; Am I able to help others think through online safety decisions?,Provide concrete examples of online threats and walk through identification together; Use guided questions to help recognise one obvious warning sign,Practice identifying threats in scenarios with decreasing support; Focus on one appropriate response strategy at a time,Present complex scenarios that require deeper analysis of multiple factors; Practice evaluating the effectiveness of different response options,Introduce novel online contexts that require transfer of existing skills; Provide opportunities to mentor others in threat recognition
cluster_09: Trust and Safety Assessment,cluster_09_lt_02,Seeking Help and Reporting Concerns,supporting_unstable,Discuss what safety concerns look like in different settings; Identify who we can turn to for help in various situations; Practice using clear words to describe problems; Explore different ways to report concerns based on the situation,What are some safety concerns you might encounter at school or home?; Who are the trusted adults you can talk to when you need help?; How can you explain a problem clearly so others understand?,Choose examples that show different types of safety concerns and various appropriate reporting channels students might actually encounter.,I have not yet tried to report concerns or ask for help.,I can try to tell someone about safety concerns with help.,I can recognize when I need help but sometimes use unclear words or tell the wrong person.,I can report safety concerns and ask for help using clear words and telling the right person.,I can adjust how I report concerns based on different situations and help others know how to seek help.,Did I use clear words that help others understand my concern?; Did I choose the right person or place to report my concern?,Model simple ways to ask for help in safe situations; Practice identifying trusted adults together,Provide sentence starters for reporting concerns; Help identify the most appropriate person to tell,Practice using specific vocabulary to describe different types of concerns; Review which channels work best for different situations,Present complex scenarios requiring adapted reporting strategies; Encourage peer mentoring opportunities
cluster_12: Sexual Consent and Ethics,cluster_12_lt_01,Communicating Consent and Boundaries,supporting_unstable,Explore what consent and boundaries mean in different relationships; Identify what effective communication looks like in relationship scenarios; Examine how consent and boundaries apply in romantic and sexual contexts; Discuss how to support others with boundary understanding,What does it mean to respect someone's boundaries in a relationship?; How do we know when someone is giving clear consent?; What makes boundary communication challenging in different situations?; How can we help others understand consent and boundaries?,Select scenarios that show clear progression from basic boundary recognition to complex relationship navigation and peer support situations.,I have not yet attempted to communicate consent or boundaries.,I can identify some consent concepts with support but communicate boundaries inconsistently.,I can communicate basic consent and boundaries in familiar situations.,"I can independently recognise, respect and communicate consent and boundaries effectively in early romantic and sexual relationships.",I can transfer consent communication skills to new contexts and support others in understanding boundary dynamics.,Can I clearly communicate my own boundaries and respect others' boundaries?; Do I understand consent in different relationship contexts?; Can I help others navigate consent and boundary situations?,Provide clear examples of what consent and boundaries look like in relationships; Practice identifying boundary statements in simple scenarios,Focus on consistent language for expressing boundaries; Practice recognising consent cues in structured activities,Explore boundary communication in more complex relationship scenarios; Discuss how consent applies differently across various relationship contexts,Apply consent and boundary skills to unfamiliar or challenging situations; Practice supporting peers through boundary-related discussions
cluster_13: Sexual and Reproductive Health,cluster_13_lt_02,Applying Sexual Health Information Skills,stable,Students brainstorm what makes health information trustworthy or untrustworthy.; Students examine different sexual health sources and discuss quality indicators.; Students practice identifying misinformation and develop counter-strategies.; Students create criteria for evaluating information and helping others.; Students refine rubric levels based on their evaluation experiences.,What clues tell you if sexual health information is reliable?; How would you help someone who believes misinformation?; What makes someone ready to teach others about information quality?,"Select diverse sexual health information sources ranging from clearly credible to obviously problematic, including social media posts and peer conversations that students commonly encounter.",I have not yet attempted to evaluate sexual health information.,I can identify some accurate information with help but struggle to counter misinformation effectively.,I can evaluate basic sexual health information independently but inconsistently identify or address misinformation.,I can independently evaluate medically accurate sexual health information and effectively counter misinformation with appropriate signposting.,I can transfer evaluation skills to complex contexts and proactively educate others about misinformation.,Can I explain why this source is trustworthy or not?; Would I feel confident helping a friend evaluate sexual health information?,Provide a simple checklist for evaluating one sexual health source.; Model thinking aloud while evaluating information quality.,Practice identifying red flags in misinformation with guided support.; Rehearse simple phrases for redirecting to accurate sources.,Compare multiple sources on the same topic to build consistency.; Practice addressing misinformation scenarios with peer feedback.,Apply evaluation skills to unfamiliar or complex sexual health topics.; Develop strategies for teaching evaluation skills to peers.
cluster_15: Digital Wellbeing and Online Behaviour,cluster_15_lt_01,Understanding Digital Risks and Impacts,supporting_unstable,Students brainstorm what happens when they use digital devices and apps; Teacher guides sorting of student ideas into helpful and harmful categories; Students discuss how digital activities make them feel physically and emotionally; Class creates shared language for describing different levels of understanding about digital impacts,What are some things that happen when you spend time online or using apps?; How do these digital activities affect how you feel in your body and mind?; What makes someone really good at understanding digital risks and benefits?,Choose student work samples that show clear progression from basic naming of risks to detailed explanations of wellbeing impacts.,I have not yet tried to identify online risks or benefits,I can name some online risks or benefits with help,I can identify basic online risks and benefits on my own,I can identify various online risks and benefits and explain how they affect my wellbeing,I can analyze complex digital situations and evaluate detailed impacts on different parts of wellbeing,"Can I explain how this digital activity affects my physical, emotional, or social wellbeing?; Am I identifying both risks and benefits rather than just one side?",Provide concrete examples of common online activities to analyze; Use visual prompts showing digital scenarios,Ask students to explain their thinking about identified risks or benefits; Provide sentence starters for describing digital impacts,Guide students to connect digital activities to specific feelings or physical effects; Prompt reflection on personal experiences with digital wellbeing,Present complex scenarios with multiple digital elements to analyze; Encourage consideration of long-term and varied wellbeing impacts
cluster_16: Physical Health and Lifestyle,cluster_16_lt_01,Understanding Health Knowledge and Risks,stable,"Brainstorm what we already know about staying healthy; Sort health knowledge into categories like nutrition, exercise, and hygiene; Define what makes health information accurate versus incomplete; Create quality levels from basic naming to explaining connections",What health facts do you think are most important to know?; How can we tell if our health knowledge is complete or has gaps?; What would it look like to connect different areas of health together?,Select student work samples that clearly show progression from naming isolated health facts to demonstrating comprehensive understanding across all health domains.,I have not yet attempted to identify health facts,I can name some health facts with help but my understanding has errors,I can identify basic health facts on my own but have gaps in nutrition or hygiene knowledge,"I can independently identify key facts about nutrition, physical activity, substance use, hygiene, and health maintenance practices accurately",I can connect health facts across different areas and explain relationships between health practices,Can I accurately name important facts in all five health areas without help?; Am I able to explain how different health practices connect to each other?,Provide visual health fact cards to sort and discuss; Start with one familiar health topic like handwashing,Correct misconceptions immediately with accurate information; Use graphic organizers to organize health facts by category,Focus practice on the specific health domains showing gaps; Provide targeted resources for nutrition or hygiene knowledge building,Challenge to find connections between different health practices; Ask how one health choice affects other areas of wellness
cluster_17: Healthcare Access and Medical Decision-Making,cluster_17_lt_01,Navigating Healthcare Services,supporting_unstable,Brainstorm different types of healthcare needs students or families might have; Identify various healthcare services that address these needs; Discuss how people find and access these services; Create criteria for matching appropriate services to specific needs; Develop language for describing access methods clearly,What healthcare needs have you or your family experienced?; How do people find the right healthcare service when they need help?; What makes one healthcare service more appropriate than another for a specific need?; What information would someone need to successfully access a healthcare service?,Select examples that show clear progression from basic services with simple access to complex services requiring multiple steps or specialized knowledge.,I have not yet attempted to identify healthcare services or how to access them,I can name some healthcare services with help but my access information is incomplete,I can identify basic healthcare services and explain simple ways to access them,I can identify appropriate healthcare services for different needs and clearly explain how to access them,I can evaluate healthcare service options and explain access strategies for complex healthcare needs,Can I match the right type of healthcare service to specific needs?; Can I explain the steps someone would take to access the services I identified?,Provide a simple scenario and ask what type of healthcare help might be needed; Show examples of common healthcare services and discuss when they might be used,Ask clarifying questions about the access steps they described; Provide additional information to fill gaps in their access explanations,Present more complex healthcare scenarios that require specialized services; Guide them to consider multiple access methods or steps for the same service,Challenge them to compare different service options for the same need; Ask them to consider barriers or complications in accessing specialized services
cluster_18: Personal Safety and Risk Management,cluster_18_lt_01,Identifying Safety Hazards and Risks,supporting_unstable,Students brainstorm what makes something dangerous or unsafe in familiar places; Groups categorize hazards by how likely they are to happen and how serious the harm could be; Class discusses what it means to assess risk versus just spotting hazards; Students test their understanding by ranking hazards from different scenarios,What could hurt someone in this environment?; How likely is this hazard to actually cause harm?; Which hazard would you worry about most and why?,Choose scenarios from varied environments that show clear differences between spotting hazards and evaluating their actual risk levels.,I have not yet attempted to identify hazards or assess risks,I can spot obvious hazards with help but struggle to judge how risky they really are,I can find common hazards on my own but my risk assessment needs more depth,I can identify potential hazards in different places and accurately assess their safety risks,I can systematically evaluate complex risk scenarios and rank multiple hazards by how severe and likely they are,Can I explain why this hazard is more or less risky than others?; Have I considered both how likely the hazard is and how much harm it could cause?,Point out one obvious hazard and ask what could go wrong; Provide a simple checklist of things to look for,Ask them to explain why one hazard is riskier than another; Guide them to consider both likelihood and severity,Challenge them to find less obvious hazards in the same environment; Have them justify their risk assessment with specific reasoning,Present complex scenarios with multiple interacting hazards; Ask them to create a priority ranking system for different types of risks
cluster_18: Personal Safety and Risk Management,cluster_18_lt_02,Managing Personal Safety and Seeking Help,supporting_unstable,Students brainstorm what safety means in different contexts and situations.; Students identify specific strategies they already use to stay safe.; Students discuss challenges with peer pressure and when help-seeking is needed.; Students organize strategies and help-seeking behaviors from basic to advanced levels.,What does staying safe look like in different places or situations?; When have you successfully handled peer pressure or asked for help?; What makes some safety strategies harder to use than others?; How could you help someone else learn to stay safe?,Choose examples that show clear differences between basic safety awareness and effective implementation across various contexts.,I have not yet shown that I can use safety strategies or ask for help.,I can identify some safety strategies with help but find them hard to use effectively.,I can use basic safety strategies on my own but sometimes struggle with peer pressure or asking for help.,"I can use appropriate safety strategies, handle peer pressure well, and ask for help when I need it.",I can apply safety skills in new situations and help others develop their own safety strategies.,Can I name specific safety strategies I use and explain when to seek help?; How well do I handle situations where peers might influence my safety choices?,Help identify one specific safety strategy relevant to the student's daily life.; Practice recognizing trusted adults who can provide help.,Guide practice applying identified strategies in low-risk scenarios.; Provide sentence starters for help-seeking conversations.,Role-play peer pressure scenarios with response strategies.; Create a personal help-seeking plan with specific steps and contacts.,Present novel safety scenarios requiring strategy adaptation.; Facilitate opportunities to mentor peers in safety planning.
cluster_19: Puberty and Physical Development,cluster_19_lt_01,Understanding Physical Development During Puberty,supporting_unstable,Brainstorm what students already know about physical changes during puberty; Discuss what makes a good explanation versus just listing changes; Sort student examples of physical changes into categories of explanation quality; Refine criteria for complete and accurate explanations,What physical changes do you think happen during puberty?; What's the difference between naming a change and explaining it well?; How would you know if someone really understands these changes?,Select student work samples that show clear differences in explanation depth and accuracy rather than just listing physical changes.,I have not yet attempted to explain physical changes during puberty.,I can identify some physical changes with help but my explanations need work.,I can identify physical changes during puberty but my explanations could be more detailed.,I can explain the physical changes that occur during puberty and adolescence accurately and completely.,I can explain puberty changes and connect them to how timing and development vary between individuals.,Did I explain the changes or just list them?; Are my explanations accurate and complete?,Provide sentence starters about one specific physical change; Use visual aids to prompt discussion of observable changes,Ask students to elaborate on one change they mentioned; Provide accurate information to correct misconceptions,Prompt for more detail about how or why changes occur; Encourage connections between related physical changes,Challenge students to consider individual differences in timing; Ask them to connect physical changes to broader developmental patterns
cluster_19: Puberty and Physical Development,cluster_19_lt_02,Protecting Health and Wellbeing,supporting_unstable,Students share experiences of recognizing when they or others needed health attention; Class discusses what makes health concerns obvious versus subtle; Students brainstorm different strategies people use to protect their wellbeing; Groups categorize health identification skills from simple to complex situations; Class agrees on what effective application of protective strategies looks like,When have you noticed someone needed health help and what made you realize it?; What's the difference between a health concern that's easy to spot and one that's harder to notice?; How do you know if a wellbeing strategy is working effectively?; What makes some health situations more complex than others?,Choose examples that show clear progression from obvious to subtle health concerns and from single to multiple protective strategies.,I have not yet attempted to identify health issues or apply protective strategies,I can recognize obvious health concerns with help but apply strategies inaccurately,I can identify clear health issues and apply basic strategies but miss subtle concerns,I can identify when health issues require attention and apply appropriate strategies to protect wellbeing effectively,I can transfer health identification skills to complex situations and integrate multiple protective strategies,Can I spot both obvious and subtle signs that health attention is needed?; Are my protective strategies working effectively to maintain wellbeing?; Can I handle complex health situations using multiple strategies?,Guide student to notice one obvious health concern in a simple scenario; Demonstrate one basic protective strategy step by step,Help student practice identifying health concerns without prompting; Show how to check if a strategy is working before moving to the next step,Point out subtle health indicators the student missed; Encourage combining two protective strategies for better effectiveness,Challenge student with complex scenarios involving multiple health factors; Guide integration of several protective strategies simultaneously
