competency_cluster,lt_id,lt_name,lt_definition,knowledge_type,assessment_route,lt_stability,kud_items_covered,prerequisites,progression_step_1,progression_step_2,progression_step_3,progression_step_4,progression_step_5,band_statements_stability,band_gate_status
cluster_01: Physical Health and Well-being,cluster_01_lt_01,Understanding Health and Well-being Factors,"I can explain how physical activity, nutrition, sleep, and other factors support physical health and well-being outcomes.",Type 1,rubric_with_clear_criteria,stable,blk_0007_item_01; blk_0010_item_01,,,,,,,missing,missing
cluster_01: Physical Health and Well-being,cluster_01_lt_02,Demonstrating Physical Movement Competence,"I can perform movement, exercise, and activity skills appropriate to my age and context with increasing competence.",Type 1,rubric_with_clear_criteria,stable,blk_0010_item_02,,I can perform basic movement skills with adult support and guidance.,I can perform fundamental movement skills with increasing independence and control.,I can perform movement skills with precision and adapt them to different contexts.,I can perform complex movement sequences and explain how to improve my technique.,"I can perform and evaluate movement skills across varied contexts, justifying choices made.",band_statements_unstable,PASS
cluster_01: Physical Health and Well-being,cluster_01_lt_03,Sustaining Motivation for Active Healthy Living,The student sustains confidence and motivation to engage in healthy and active behaviours across different contexts and over time.,Type 3,multi_informant_observation,stable,blk_0010_item_03,Understanding Health and Well-being Factors; Demonstrating Physical Movement Competence,,,,,,,N/A (Type 3)
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_01,Caring for Self and Others,The student enacts care for and respect toward themselves and others as a sustained default orientation across contexts.,Type 3,multi_informant_observation,stable,blk_0009_item_01,,,,,,,,N/A (Type 3)
cluster_02: Self-Care and Respect for Self and Others,cluster_02_lt_02,Understanding Self-Care Impact,"I can explain how positive, informed behaviours that care for and respect self and others support well-being and sense of self-worth.",Type 1,rubric_with_clear_criteria,stable,blk_0009_item_02,,,,,,,missing,missing
cluster_03: Mental Health and Emotional Well-being,cluster_03_lt_01,Connecting Experiences to Emotional Well-being,I can explain how experiences and emotional responses influence mental health and well-being.,Type 1,rubric_with_clear_criteria,stable,blk_0011_item_01; blk_0012_item_01,,I can identify how my feelings change in response to different experiences.,I can describe connections between my experiences and how I feel emotionally.,I can explain how specific experiences affect my emotional responses and well-being.,I can analyse how my emotional responses to experiences influence my overall mental health.,I can evaluate and justify how patterns of experiences shape my emotional well-being across different contexts.,band_statements_unstable,PASS
cluster_03: Mental Health and Emotional Well-being,cluster_03_lt_02,Recognising Emotions as Fluid,"The student recognises that emotions and feelings are dynamic and changeable, sustaining this understanding across varied contexts and time.",Type 3,multi_informant_observation,stable,blk_0012_item_02,Connecting Experiences to Emotional Well-being,,,,,,,N/A (Type 3)
cluster_04: Communication About Mental Health,cluster_04_lt_01,Communicating Feelings Appropriately,I can communicate my feelings in ways that are appropriate to the context and audience.,Type 1,rubric_with_clear_criteria,stable,blk_0014_item_01,,,,,,,missing,missing
cluster_04: Communication About Mental Health,cluster_04_lt_02,Normalising Mental Health Talk,The student sustains a default orientation toward normalising talk about mental health and emotional well-being across peer interactions and community contexts.,Type 3,multi_informant_observation,stable,blk_0014_item_02,Communicating Feelings Appropriately,,,,,,,N/A (Type 3)
cluster_05: Informed Decision-Making,cluster_05_lt_01,Analysing Decision Impacts and Influencing Factors,"I can analyse how decisions and actions impact myself, others, and society, and identify the factors that influence decision-making.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0015_item_01; blk_0016_item_01; blk_0016_item_02; blk_0016_item_03,,I can identify simple consequences of my own decisions on myself and others around me.,I can describe how decisions affect different people and recognise some factors that influence my choices.,"I can explain how decisions impact myself, others, and society, and analyse key factors influencing decision-making.",I can evaluate complex decision impacts across multiple contexts and justify how various influencing factors shape outcomes.,I can analyse decision impacts and influencing factors in unfamiliar situations and apply insights to inform future choices.,stable,PASS
cluster_05: Informed Decision-Making,cluster_05_lt_02,Evaluating Implications and Risks in Decisions,I can evaluate the possible implications and risks of decisions for myself and others before deciding.,Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0017_item_01,Analysing Decision Impacts and Influencing Factors,I can identify simple consequences of my choices with adult support.,I can describe possible outcomes of decisions affecting myself and others.,I can analyse risks and benefits of decisions in familiar situations independently.,"I can evaluate implications and risks of decisions, considering multiple perspectives and outcomes.","I can evaluate complex implications and risks across unfamiliar contexts, justifying my reasoning.",stable,PASS
cluster_05: Informed Decision-Making,cluster_05_lt_03,Valuing Collective Decision-Making Contributions,The student practises recognising and valuing their own contributions to shared decision-making processes across different contexts.,Type 3,multi_informant_observation,lt_set_unstable,blk_0017_item_02,Analysing Decision Impacts and Influencing Factors,,,,,,,N/A (Type 3)
cluster_06: Career Pathway Decision-Making,cluster_06_lt_01,Identifying Consequences of Career Choices,"I can identify and describe significant lifelong consequences of career pathway decisions across personal, financial, and social domains.",Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0018_item_01,,I can identify one immediate consequence of a career choice in my own life.,I can describe consequences of career choices across personal and financial domains with support.,"I can identify and describe multiple consequences of career choices across personal, financial, and social domains.","I can explain how career pathway decisions create interconnected lifelong consequences across personal, financial, and social domains.",I can analyse and justify the significance of career choice consequences across domains in unfamiliar contexts.,stable,PASS
cluster_06: Career Pathway Decision-Making,cluster_06_lt_02,Making Informed Career Pathway Decisions,"I can evaluate multiple career pathways and justify my choices by reasoning about their alignment with my values, abilities, and long-term goals.",Type 2,reasoning_quality_rubric,lt_set_unstable,blk_0018_item_01,Identifying Consequences of Career Choices,I can identify my interests and describe how they connect to different career pathways.,I can compare career pathways and explain which align with my abilities and interests.,"I can evaluate career pathways against my values and abilities, and justify my preferences with reasoning.","I can analyse multiple career pathways, evaluate their fit with my values and long-term goals, and justify my reasoning.","I can evaluate complex career pathways, justify choices by reasoning about alignment with values, abilities, and long-term goals across contexts.",band_statements_unstable,PASS
cluster_07: Understanding Social Influences,cluster_07_lt_01,Identifying Social Influences on Identity,"I can identify how social influences shape identity, values, behaviours and well-being.",Type 1,rubric_with_clear_criteria,stable,blk_0019_item_01; blk_0020_item_01; blk_0020_item_02; blk_0020_item_03,,I can identify people and groups that influence how I think and behave.,"I can describe how family, friends, and community shape my values and choices.","I can explain how different social influences affect my identity, behaviours, and well-being.",I can analyse how multiple social influences interact to shape identity and justify my responses.,I can evaluate social influences on identity across different contexts and explain their impact on well-being.,band_statements_unstable,PASS
cluster_07: Understanding Social Influences,cluster_07_lt_02,Analysing Cultural Development of Norms,I can analyse how norms and values develop within and across different cultural contexts.,Type 2,reasoning_quality_rubric,stable,blk_0021_item_01; blk_0021_item_02,Identifying Social Influences on Identity,I can identify norms and values that exist in my own family and community.,I can describe how norms and values differ between two familiar cultural contexts.,I can explain how norms and values develop over time within a specific cultural group.,"I can analyse how norms and values are shaped by historical, social, and environmental factors across cultures.",I can evaluate how norms and values develop and change across different cultural contexts and justify cultural perspectives.,stable,PASS
cluster_08: Healthy Relationships and Belonging,cluster_08_lt_01,Understanding Healthy Relationships and Belonging,I can explain why healthy relationships and belonging are fundamental to wellbeing and health.,Type 1,rubric_with_clear_criteria,lt_set_unstable,blk_0022_item_01; blk_0023_item_01; blk_0025_item_01; blk_0026_item_01,,I can identify people who care for me and describe how they make me feel safe.,I can recognise what makes a relationship healthy and explain why belonging to a group matters.,I can describe how healthy relationships and belonging contribute to my physical and emotional wellbeing.,I can explain how healthy relationships and belonging support wellbeing across different areas of my life.,I can justify why healthy relationships and belonging are fundamental to overall wellbeing and health in varied contexts.,stable,PASS
cluster_08: Healthy Relationships and Belonging,cluster_08_lt_02,Valuing and Prioritising Healthy Relationships,"The student enacts a sustained orientation to form, nurture and maintain healthy relationships across contexts.",Type 3,multi_informant_observation,lt_set_unstable,blk_0023_item_02; blk_0025_item_02; blk_0026_item_02,Understanding Healthy Relationships and Belonging,,,,,,,N/A (Type 3)
cluster_09: Recognising and Responding to Unhealthy Relationships,cluster_09_lt_01,Analysing Relationship Dynamics for Warning Signs,I can analyse relationship dynamics and identify warning signs that indicate a relationship is unhealthy.,Type 2,reasoning_quality_rubric,stable,blk_0024_item_01,,I can identify obvious warning signs in relationships with adult support and guidance.,I can describe warning signs in relationship dynamics and explain why they are concerning.,I can analyse relationship dynamics to identify multiple warning signs and explain their impact.,"I can analyse complex relationship dynamics, identify subtle warning signs, and justify why they indicate unhealthy patterns.","I can analyse relationship dynamics across contexts, identify interconnected warning signs, and evaluate their significance independently.",stable,PASS
cluster_09: Recognising and Responding to Unhealthy Relationships,cluster_09_lt_02,Evaluating Support Resources and Safety Strategies,I can evaluate and select appropriate support resources and strategies to keep safe and seek help when relationships are unhealthy.,Type 2,reasoning_quality_rubric,stable,blk_0024_item_02,Analysing Relationship Dynamics for Warning Signs,I can identify support resources and safety strategies with adult guidance.,I can describe how different support resources and strategies help keep me safe.,I can compare support resources and strategies to select appropriate ones for unhealthy situations.,"I can evaluate support resources and strategies, explaining why they are effective for different unhealthy relationships.",I can evaluate and justify selection of support resources and strategies across varied unhealthy relationship contexts.,band_statements_unstable,PASS
